,Unnamed: 0,City,State,County,FIPS,Country,Population,Latitude,Longitude,Teleport Housing Score,Teleport Cost of Living Score,Teleport Startups Score,Teleport Venture Capital,Teleport Travel Connectivity,Teleport Commute Score,Teleport Business Freedom Score,Teleport Safety Score,Teleport Healthcare Score,Teleport Education Score,Teleport Environmental Quality Score,Teleport Taxation Score,Teleport Internet Access Score,Teleport Leisure & Culture Score,"CDC Death by Suicide per 100,000 (2019)","CDC Death by Drug Poisoning per 100,000 (2018)",annual median salary,annual 10th percentile salary,annual 90th percentile salary
0,0,Anchorage,AK,Anchorage,2020,US,298695,61.218059999999994,-149.90028,5.433500000000001,3.141,2.7945,0.0,1.7379999999999998,4.715249999999998,8.671,3.4704999999999995,8.632666666666665,3.6245,9.272000000000002,4.772,4.9645,3.2660000000000005,15.277777777777779,19.2637654435096,60826.10526315789,40507.78947368421,88043.12169312169
1,1,Birmingham,AL,Jefferson,1073,US,212461,33.52066,-86.80249,6.5555,5.132999999999999,4.3575,1.0,1.4354999999999998,2.02075,8.671,1.776,8.743333333333332,3.6245,7.0375,4.204,5.1605,5.3835,10.477198427509176,27.2236310597525,48194.82972136223,32055.617283950618,70974.05750798722
2,2,Little Rock,AR,Pulaski,5119,US,197992,34.74648,-92.28959,,,,,,,,,,,,,,,11.992518709604989,19.6327145933898,44928.14345991561,30550.126050420167,67166.83760683761
3,3,Phoenix,AZ,Maricopa,4013,US,1563025,33.44838,-112.07404,6.533,6.2079999999999975,6.5085000000000015,4.558,3.3025,4.828500000000001,8.671,2.583,8.567333333333334,4.590999999999998,4.6252499999999985,4.488,6.178,6.8100000000000005,15.606140258179064,24.448119072084108,48319.163179916315,33883.833333333336,72339.49579831933
4,4,Los Angeles,CA,Los Angeles,6037,US,3971883,34.05223,-118.24368,1.5275,4.556000000000001,10.0,10.0,3.9585,3.6770000000000014,8.574666666666667,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001,9.196,8.297550768210758,9.836990062524213,56503.028846153844,39971.80952380953,82383.9603960396
5,5,Denver,CO,Denver,8031,US,682545,39.73915,-104.9847,3.8375,5.102,7.8645,6.117000000000001,4.243,4.530000000000001,8.671,5.371,8.615666666666666,3.6245,7.11675,4.346,5.418500000000001,6.2235,17.05144724158463,22.7747511495658,52623.97637795276,36671.686274509804,75782.12851405622
6,6,Bridgeport,CT,Fairfield,9001,US,147629,41.17923,-73.18945,,,,,,,,,,,,,,,6.042411367365888,18.996443721809,59785.053078556266,41283.642105263156,88184.18859649122
7,7,Washington,DC,District of Columbia,11001,US,601723,38.895109999999995,-77.03636999999998,1.2105,3.595,8.774000000000001,8.056000000000001,4.505000000000001,4.457000000000002,8.671,2.1915,8.490666666666666,5.9685000000000015,6.99375,4.062,3.8255000000000012,10.0,3.825722742788159,34.0754890329238,67276.59025787965,41964.065155807366,96646.98315467076
8,8,Wilmington,DE,New Castle,10003,US,71948,39.74595,-75.54659000000002,,,,,,,,,,,,,,,7.337768208850781,42.1039335569119,51671.625,35568.56435643564,75817.94344473007
9,9,Jacksonville,FL,Duval,12031,US,868031,30.332179999999997,-81.65565,6.450000000000001,5.359,4.3475,2.545,1.5674999999999997,1.40575,8.671,3.8255,8.498,3.6245,7.12025,4.772,6.1575000000000015,5.6545000000000005,14.721927841671407,31.390718263712106,44267.84810126582,31941.490683229815,67990.1948051948
10,10,Atlanta,GA,Fulton,13121,US,463878,33.749,-84.38798,4.9755,5.2410000000000005,8.835,7.2570000000000014,5.2915,3.89775,8.671,2.6725,8.533999999999999,6.456999999999999,5.8177499999999975,4.204,6.4805,7.7654999999999985,8.083185376577749,16.3259327323961,50099.12,33163.90438247012,74310.56224899598
11,11,Honolulu,HI,Honolulu,15003,US,371657,21.30694,-157.85833,2.3415000000000004,2.867,4.1335,0.0,1.983,4.1617500000000005,8.671,6.8565000000000005,8.474,4.2805,6.094000000000001,4.204,6.1579999999999995,7.622999999999997,10.568839572198,15.274030299884698,61927.2,41243.60396039604,90908.06185567011
12,12,Des Moines,IA,Polk,19153,US,210330,41.60054,-93.60911,6.850999999999999,6.327000000000001,2.912,1.818,1.379,2.0722500000000004,8.671,6.984,8.841333333333333,3.6245,8.68225,4.346,5.698,6.0665,12.64890515565294,15.6007953492983,49935.77922077922,33734.91909385113,74056.33986928104
13,13,Boise,ID,Ada,16001,US,145987,43.6135,-116.20345,6.9635,6.577999999999999,4.205,2.5960000000000005,1.3235,5.2250000000000005,8.671,4.3605,8.881,3.6245,8.069500000000001,4.062,3.4419999999999997,4.1995,12.666454866929548,16.102306390036,50088.53503184713,33018.83966244726,76521.23376623377
14,14,Chicago,IL,Cook,17031,US,2720546,41.85003,-87.65005,3.702,4.766000000000001,9.513,8.368,5.5075,4.57975,8.671,3.832,8.555,7.999,6.8045,4.062,6.599499999999999,8.193,8.504469603608225,23.286962318909307,55067.96583850931,35033.61111111111,82769.31089743589
15,15,Indianapolis,IN,Marion,18097,US,829718,39.76838,-86.15804,6.266,5.478,5.502999999999999,3.96,1.6815000000000002,4.85875,8.671,3.968,8.597666666666665,3.6245,6.1605,4.062,5.8755000000000015,7.298999999999999,9.537810160255944,34.3696937665907,46880.80882352941,30482.893772893774,70790.03731343284
16,16,Wichita,KS,Sedgwick,20173,US,389965,37.69224000000001,-97.33754,,,,,,,,,,,,,,,14.339918068684332,18.4133183356596,49727.02760084926,32331.63481953291,74151.9305856833
17,17,Lexington-Fayette,KY,Fayette,21067,US,314488,38.0498,-84.45855,,,,,,,,,,,,,,,7.426845571124423,36.583638662998794,,,
18,18,New Orleans,LA,Orleans,22071,US,389617,29.95465,-90.07507,5.3389999999999995,4.991999999999999,4.7365,1.21,1.757,4.6275,8.671,2.088,8.311666666666666,4.151999999999999,5.6739999999999995,4.346,6.453000000000001,7.1985,7.433152887139107,38.3104023317617,46419.66573816156,31773.636363636364,69991.04225352113
19,19,Boston,MA,Suffolk,25025,US,667137,42.35843,-71.05977,1.0,4.2589999999999995,9.565,10.0,3.215,4.39625,8.671,7.742000000000001,8.956,8.6245,8.1705,4.062,5.700500000000001,8.564,3.482989947842225,28.6668232126086,59785.053078556266,41283.642105263156,88184.18859649122
20,20,Baltimore,MD,Baltimore City,24510,US,621849,39.29038,-76.61219,4.829999999999999,4.982,0.0,4.3580000000000005,3.6665,4.93475,5.502000000000002,2.373,8.944666666666665,5.8805,5.784500000000001,4.062,4.988,0.0,6.571298589698228,106.635164071484,67276.59025787965,41964.065155807366,96646.98315467076
21,21,Portland,ME,Cumberland,23005,US,66881,43.65737,-70.2589,0.0,0.0,3.637000000000001,0.0,1.102,1.97025,8.671,6.3584999999999985,7.747000000000001,3.6245,7.675499999999999,4.062,3.5465,3.305,8.813469693528539,24.0588178801812,55177.355769230766,38399.52380952381,78802.45145631068
22,22,Detroit,MI,Wayne,26163,US,677116,42.33143,-83.04575,6.223000000000001,6.032,5.4015,5.183999999999998,3.6405,0.933,8.671,4.4615,8.278999999999998,5.8185,4.04675,3.7785,6.1670000000000025,7.478,9.260619558314179,43.3433354825579,48177.18498659517,33475.99469496021,73011.21951219512
23,23,Minneapolis,MN,Hennepin,27053,US,410939,44.97997,-93.26384,4.738500000000001,5.042000000000002,6.5265,5.5230000000000015,3.5439999999999996,4.924999999999999,8.671,5.085000000000001,8.972000000000003,5.2745,8.362,4.062,6.258499999999999,6.8505,11.138822113010855,14.053505867370601,53541.752873563215,37765.38681948424,75070.55232558139
24,24,Kansas City,MO,Jackson,29095,US,475378,39.09973,-94.57857,6.7075,5.843999999999999,2.7939999999999987,3.5380000000000007,1.869,1.9725000000000004,8.671,4.422500000000001,8.775666666666666,3.6245,7.9765,4.062,8.188500000000001,6.674500000000001,15.789226626610393,20.1247138982532,55067.96583850931,35033.61111111111,82769.31089743589
25,25,Jackson,MS,Hinds,28049,US,170674,32.298759999999994,-90.18481,,,,,,,,,,,,,,,8.62663906142167,9.34099551952752,49851.588946459415,31779.758203799654,75486.2147887324
26,26,Billings,MT,Yellowstone,30111,US,110263,45.78329,-108.50068999999999,,,,,,,,,,,,,,,21.69869807811532,18.6004714328701,47332.49097472924,32558.59712230216,70885.29411764706
27,27,Charlotte,NC,Mecklenburg,37119,US,827097,35.22709000000001,-80.84313,5.5489999999999995,4.987,6.2479999999999976,2.878,3.679,4.1339999999999995,8.671,5.347499999999998,8.811333333333334,3.6245,8.009249999999998,4.062,6.3870000000000005,5.606,6.214223186077257,18.1337589756183,50279.2654028436,34268.7706855792,73027.68856447689
28,28,Fargo,ND,Cass,38017,US,118523,46.87719,-96.7898,,,,,,,,,,,,,,,12.642711476833606,10.3602961862259,54764.27848101266,36868.53164556962,80069.42708333333
29,29,Omaha,NE,Douglas,31055,US,443885,41.25626,-95.94043,7.0405000000000015,5.9940000000000015,4.0120000000000005,0.0,1.4165,2.1277500000000003,8.671,5.5520000000000005,8.879999999999997,4.128,7.876000000000001,4.204,6.3065,4.942,11.727084489267964,9.193816979240859,53723.066914498144,35926.97974217311,78390.28409090909
30,30,Manchester,NH,Hillsborough,33011,US,110229,42.99564,-71.45479,,,,,,,,,,,,,,,16.305976859900483,36.2130220709246,60218.25153374233,41153.67781155015,82955.57692307692
31,31,Newark,NJ,Essex,34013,US,281944,40.735659999999996,-74.17237,1.0,2.342,10.0,10.0,6.675,5.51925,8.671,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,10.0,3.25416940454958,32.4817849824681,53828.73949579832,37794.979079497905,74979.60869565218
32,32,Albuquerque,NM,Bernalillo,35001,US,559121,35.08449,-106.65113999999998,7.262,6.059,3.772,1.493,1.4555000000000002,5.05575,8.671,1.3435,8.508666666666665,4.151999999999999,7.3195,4.346,5.396000000000001,4.8900000000000015,18.70064392059736,29.6121636681074,51115.229007633585,36136.23574144486,75136.171875
33,33,Las Vegas,NV,Clark,32003,US,623747,36.17497,-115.13722,7.001,5.759,7.515,2.022,3.5285,4.807499999999999,8.671,2.385,7.9846666666666675,3.6245,5.5565000000000015,4.772,5.3035,6.3685,16.27906463759229,22.359165445784697,55107.393258426964,36860.20134228188,82042.90993071593
34,34,New York City,NY,New York,36061,US,8175133,40.71427,-74.00596999999998,1.0,2.342,10.0,10.0,6.675,5.51925,8.671,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985,10.0,6.017046661582876,17.0586673295869,53427.05882352941,38121.95121951219,76306.35467980296
35,35,Columbus,OH,Franklin,39049,US,850106,39.96118,-82.99879,6.2895,5.746000000000001,5.8785000000000025,4.973000000000001,1.663,5.02675,8.671,5.2815,8.688999999999998,5.0474999999999985,8.166,3.9205,4.5535,6.4659999999999975,9.417082587814296,37.071680627403204,47604.96240601504,31302.95,72571.24681933843
36,36,Oklahoma City,OK,Oklahoma,40109,US,631346,35.46756,-97.51643,7.261000000000001,6.394,4.1375,0.0,1.399,5.02725,8.671,4.6855,8.549,3.6245,7.61525,4.204,7.689,5.376000000000001,17.932518553259577,17.880934274032303,50058.29268292683,33565.11152416357,75740.55876685935
37,37,Portland,OR,Multnomah,41051,US,632309,45.52345,-122.67621000000001,4.138,4.9239999999999995,6.9570000000000025,5.899,2.2405,4.908,8.671,5.1805,8.596666666666666,4.2155,8.4595,3.9205,5.9685000000000015,6.2195,16.362081798106672,21.2622825052856,55177.355769230766,38399.52380952381,78802.45145631068
38,38,Philadelphia,PA,Philadelphia,42101,US,1567442,39.952329999999996,-75.16379,4.207,4.4220000000000015,7.3625,5.215999999999998,3.556,4.1315,8.671,3.133,8.621666666666666,6.0285,5.1240000000000006,3.7785,7.443,8.492,8.901155508868328,59.1914819901151,47604.96240601504,31302.95,72571.24681933843
39,39,Providence,RI,Providence,44007,US,179207,41.82399,-71.41283,3.1530000000000005,0.0,3.764,1.0,3.0185,2.4219999999999997,8.671,6.846,8.885333333333334,5.3015,5.900499999999999,4.204,8.9345,3.9185000000000008,6.2604569194482655,31.2730259350591,61032.14904679376,41295.7461406518,87901.34057971014
40,40,Columbia,SC,Richland,45079,US,133803,34.00071,-81.03481,,,,,,,,,,,,,,,11.785673912050008,17.5842594022758,44877.485714285714,30956.590909090908,67215.05747126437
41,41,Sioux Falls,SD,Minnehaha,46099,US,171544,43.54997,-96.70033000000001,,,,,,,,,,,,,,,6.213302681040107,11.360888446289401,50633.44473007712,37463.78516624041,69473.90052356021
42,42,Memphis,TN,Shelby,47157,US,655770,35.14953,-90.04898,7.1145000000000005,5.829,4.449499999999999,0.0,1.6615000000000002,1.9175,8.671,2.8585000000000003,7.523666666666666,3.6245,4.5452499999999985,4.772,6.07,6.860499999999999,9.816830742899336,17.172769201619502,52591.18780096308,33892.09935897436,79722.34710743802
43,43,Houston,TX,Harris,48201,US,2296224,29.763279999999998,-95.36327,5.224500000000001,6.162000000000001,7.9345,4.474,4.338500000000002,4.03075,8.671,3.129,8.611,4.928,5.304500000000001,4.772,6.248499999999999,7.144,9.886863307749838,12.723164726585901,45508.69047619047,31515.708661417324,67209.23694779117
44,44,Salt Lake City,UT,Salt Lake,49035,US,192672,40.76078,-111.89105,6.141000000000001,6.1720000000000015,6.3,7.09,2.7369999999999988,4.573999999999999,8.671,5.657,8.818666666666664,4.2805,6.21575,4.204,6.810500000000001,5.932,19.38924732665367,23.398565850882,45091.76,29316.972111553783,70083.91836734694
45,45,Virginia Beach,VA,Virginia Beach City,51810,US,452745,36.85293,-75.97799,,,,,,,,,,,,,,,9.333872623751594,14.966590614774,52848.04,36184.68503937008,78526.92307692308
46,46,Burlington,VT,Chittenden,50007,US,42452,44.47588,-73.21207,,,,,,,,,,,,,,,,,55062.01133144476,38357.09039548023,83310.94017094017
47,47,Seattle,WA,King,53033,US,684451,47.60621,-122.33207,2.291,3.79,8.367,7.551000000000001,2.8845,4.5237500000000015,8.671,5.6365,8.724333333333332,5.7145,7.560250000000001,4.772,4.940499999999999,8.1155,13.183699088504795,16.7402607850271,55636.360655737706,38682.62295081967,77560.87837837837
48,48,Milwaukee,WI,Milwaukee,55079,US,600155,43.0389,-87.90647,6.1225,5.526,4.8305,2.005,1.5875,4.915000000000001,8.671,4.2669999999999995,8.594333333333333,4.177,7.989000000000001,4.204,4.346,6.8375,7.930415363435078,36.777504379549,51025.70909090909,35824.85507246377,73397.44444444444
49,49,Charleston,WV,Kanawha,54039,US,49736,38.34982,-81.63261999999997,,,,,,,,,,,,,,,,,52848.04,36184.68503937008,78526.92307692308
50,50,Cheyenne,WY,Laramie,56021,US,63335,41.13998,-104.82025,,,,,,,,,,,,,,,16.08040201005025,16.0795496783428,51861.45374449339,36664.51754385965,77194.64285714286
